frame_ctr,frame_len,frame_data,frame_gap,device
0501,22,2000FA400000000001220100CD,10.525332382050768,z_wave_controller
4101,21,7105000000FF05000102A4FF,3.245504349753379,GR_water_sensor
0301,11,46AF,10.226555738942096,z_wave_controller
4102,15,30030006E866,3.1628348049910735,GR_water_sensor
0302,11,1FFF,10.589123700824489,z_wave_controller
4103,14,800351F146,3.2026808561239397,GR_water_sensor
0303,11,28CF,10.826055824125923,z_wave_controller
4101,12,840753,5.4918093924118585,NEO_door_sensor
0301,10,94,10.90129283947695,z_wave_controller
4101,12,84085C,10.518588817514456,z_wave_controller
0301,10,94,5.003520659795114,NEO_door_sensor
4101,14,2001FFBD62,2.0514290766975067,GR_body_sensor
0301,11,160A,10.905622514069924,z_wave_controller
4102,14,2001FF541B,1.9381462314006905,GR_body_sensor
4102,14,2001FF541B,2.069649102189742,GR_body_sensor
5102,13,2001FF18,1.9579209814087655,GR_body_sensor
4103,14,2001FF11BB,2.0338813916165948,GR_body_sensor
4103,14,2001FF11BB,2.0282600156106585,GR_body_sensor
5103,13,2001FF19,2.093870846189271,GR_body_sensor
8101,16,0010012001FFC7,1.909143412097359,GR_body_sensor
8101,16,0011012001FFC6,2.067588382907354,GR_body_sensor
8101,16,0011012001FFC6,1.931671994533016,GR_body_sensor
8101,16,0011012001FFC6,1.972800309739418,GR_body_sensor
C101,13,151F015E,2.184647090520408,GR_siren
0301,10,96,1.9386586202820677,GR_body_sensor
4104,13,2001FF0E,2.092578572544521,GR_body_sensor
4104,13,2001FF0E,1.91931636109246,GR_body_sensor
4104,13,2001FF0E,1.9351983997318647,GR_body_sensor
4501,21,2000FA40000000002001FF8D,1.953937760166555,GR_body_sensor
4105,20,7105000000FF070800B8E6,1.9718723952113202,GR_body_sensor
0305,11,CACA,10.836292942610665,z_wave_controller
4106,20,7105000000FF070800CEC6,2.019275692000829,GR_body_sensor
4106,20,7105000000FF070800CEC6,1.973986946418791,GR_body_sensor
5106,19,7105000000FF07080058,2.0452542010811636,GR_body_sensor
4107,20,7105000000FF070800CDB3,1.9141915621072056,GR_body_sensor
4107,20,7105000000FF070800CDB3,1.9770853238455484,GR_body_sensor
5107,19,7105000000FF07080059,2.0650267206843576,GR_body_sensor
8102,22,0010017105000000FF07080098,2.0331703590082264,GR_body_sensor
8102,22,0011017105000000FF07080099,1.9777829245059495,GR_body_sensor
8102,22,0011017105000000FF07080099,2.0846370226432014,GR_body_sensor
8102,22,0011017105000000FF07080099,1.9364053685019857,GR_body_sensor
C102,13,151F015D,2.148725458872589,GR_siren
0302,10,95,2.0323838600888404,GR_body_sensor
4108,19,7105000000FF07080046,2.096804128391975,GR_body_sensor
4108,19,7105000000FF07080046,2.099709579154194,GR_body_sensor
4108,19,7105000000FF07080046,2.0364550969200548,GR_body_sensor
4502,27,2000FA40000000007105000000FF070800DA,1.9398313322269978,GR_body_sensor
4101,14,2001FFBD62,1.9839001209553675,GR_body_sensor
0301,11,160A,10.615329836051442,z_wave_controller
4102,14,2001FF541B,2.0972139813352646,GR_body_sensor
4102,14,2001FF541B,1.9155313193801546,GR_body_sensor
5102,13,2001FF18,1.9460879045178143,GR_body_sensor
4103,14,2001FF11BB,1.9000477796302406,GR_body_sensor
4103,14,2001FF11BB,2.0686647943149787,GR_body_sensor
5103,13,2001FF19,1.9479933198699522,GR_body_sensor
8101,16,0010012001FFC7,2.056867568294793,GR_body_sensor
8101,16,0011012001FFC6,2.008692143269542,GR_body_sensor
8101,16,0011012001FFC6,1.9528825580911862,GR_body_sensor
8101,16,0011012001FFC6,1.9116502299041436,GR_body_sensor
C101,13,151F015E,2.1499606869763874,GR_siren
0301,10,96,2.0225727605687203,GR_body_sensor
4104,13,2001FF0E,2.0332007193167634,GR_body_sensor
4104,13,2001FF0E,2.060182406786907,GR_body_sensor
4104,13,2001FF0E,1.9496645236079087,GR_body_sensor
4501,21,2000FA40000000002001FF8D,2.0039297642875455,GR_body_sensor
4105,20,7105000000FF070800B8E6,1.9472239012758907,GR_body_sensor
0305,11,CACA,10.612214262746662,z_wave_controller
4106,20,7105000000FF070800CEC6,1.9118355769497277,GR_body_sensor
4106,20,7105000000FF070800CEC6,1.9020144268733696,GR_body_sensor
5106,19,7105000000FF07080058,2.0094753420945155,GR_body_sensor
